DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210114219,2021-07-28 00:00:00,2021-07-27 00:00:00,1130,1,Central,162,1,330,BURGLARY FROM VEHICLE,1609 0344,23,F,H,156.0,VALET,,,IC,Invest Cont,330.0,,,,800 S  OLIVE                        ST,,34.0437,-118.2582
220123676,2022-10-29 00:00:00,2022-10-29 00:00:00,345,1,Central,159,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0400 0411,31,M,H,101.0,STREET,203.0,DIRK/DAGGER,IC,Invest Cont,230.0,,,,4TH,HEWITT,34.0436,-118.2354
220127220,2022-12-27 00:00:00,2022-12-27 00:00:00,1015,1,Central,123,2,624,BATTERY - SIMPLE ASSAULT,0447 1822 1266 0416 0910,41,M,H,901.0,MTA - RED LINE - CIVIC CENTER/GRAND PARK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,200 N  HILL                         ST,,34.0552,-118.2457
241506740,2024-02-27 00:00:00,2024-02-27 00:00:00,915,15,N Hollywood,1586,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1218 1402 0910 2004 0334 0416,60,M,H,912.0,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,508.0,MARTIAL ARTS WEAPONS,IC,Invest Cont,230.0,998.0,,,3800    LANKERSHIM                   BL,,34.1425,-118.3643
232018295,2023-11-24 00:00:00,2023-11-24 00:00:00,1120,20,Olympic,2035,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1203 0446 2000 1813 1243 0400 0448 0416,41,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,700 S  NORMANDIE                    AV,,34.0597,-118.2998
222017581,2022-11-24 00:00:00,2022-11-20 00:00:00,530,20,Olympic,2023,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,42,F,K,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,400 S  KINGSLEY                     DR,,34.0672,-118.3028
200115667,2020-07-31 00:00:00,2020-07-31 00:00:00,1920,1,Central,144,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,41,M,W,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 S  MAIN                         ST,,34.0478,-118.2484
231107630,2023-04-08 00:00:00,2023-04-08 00:00:00,1000,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 0913 1402 0907 0444 1813 1206,33,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,998.0,,,3100    ESTARA                       AV,,34.1181,-118.2412
211504949,2021-01-25 00:00:00,2020-12-31 00:00:00,1200,15,N Hollywood,1557,2,649,DOCUMENT FORGERY / STOLEN FELONY,0923 1822,27,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,5100    CARTWRIGHT                   AV,,34.1631,-118.3637
211708521,2021-05-16 00:00:00,2021-05-16 00:00:00,135,17,Devonshire,1792,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0202 0906 0416 1822 0342,22,M,H,108.0,PARKING LOT,312.0,PIPE/METAL PIPE,IC,Invest Cont,230.0,,,,20000    ROSCOE                       BL,,34.2243,-118.5623
232106537,2023-03-09 00:00:00,2023-03-08 00:00:00,2130,21,Topanga,2143,1,310,BURGLARY,1607 0321 1609,0,M,W,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,6600    FALLBROOK                    AV,,34.1883,-118.6274
211305622,2021-02-07 00:00:00,2021-02-07 00:00:00,900,13,Newton,1362,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,47TH                         PL,GRAND                        AV,33.9981,-118.2697
201307242,2020-02-27 00:00:00,2020-02-27 00:00:00,1700,13,Newton,1373,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,55TH,MCKINLEY,33.9925,-118.2608
200804450,2020-01-12 00:00:00,2020-01-12 00:00:00,300,8,West LA,829,2,624,BATTERY - SIMPLE ASSAULT,0448 0429 1810,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,10400    SANTA MONICA                 BL,,34.0581,-118.4236
201108822,2020-04-28 00:00:00,2020-04-28 00:00:00,1730,11,Northeast,1132,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0400 0444,31,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,3800    SHANNON                      RD,,34.1192,-118.2797
230111428,2023-04-14 00:00:00,2023-04-10 00:00:00,1250,1,Central,181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,21,M,W,741.0,STAPLES CENTER *,,,IC,Invest Cont,341.0,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
200407163,2020-03-21 00:00:00,2020-03-21 00:00:00,1730,4,Hollenbeck,457,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0913 0553,25,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205.0,KITCHEN KNIFE,AA,Adult Arrest,230.0,,,,400 N  MOTT                         ST,,34.0452,-118.2041
211114334,2021-10-19 00:00:00,2021-10-19 00:00:00,1645,11,Northeast,1117,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1608 0344,12,M,B,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,440.0,,,,1800    YOSEMITE                     DR,,34.1335,-118.2065
230123706,2023-11-09 00:00:00,2023-11-09 00:00:00,2000,1,Central,142,1,330,BURGLARY FROM VEHICLE,1300 1307 0329 0344,44,M,A,101.0,STREET,,,IC,Invest Cont,330.0,,,,300 S  FLOWER                       ST,,34.0543,-118.2535
221600718,2022-07-04 00:00:00,2022-07-04 00:00:00,1330,16,Foothill,1615,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0416 1601 1402 1407 1419 2000,30,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,998.0,,,11700    FOOTHILL                     BL,,34.2754,-118.3904
220111328,2022-04-29 00:00:00,2022-04-25 00:00:00,2240,1,Central,142,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 1202 1822 1266 0917 0342 0429 1414,57,M,H,702.0,OFFICE BUILDING/OFFICE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,300 S  HOPE                         ST,,34.0537,-118.2523
220113302,2022-05-30 00:00:00,2022-05-29 00:00:00,1325,1,Central,112,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 0321 1414 1822 1609,37,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,HILL,TEMPLE,34.0568,-118.2441
211307546,2021-03-22 00:00:00,2021-03-22 00:00:00,720,13,Newton,1307,1,110,CRIMINAL HOMICIDE,1822 1218 0430 0906 1100 0305,41,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,7TH,ALAMEDA,34.0352,-118.2389
211908799,2021-05-18 00:00:00,2021-05-17 00:00:00,1900,19,Mission,1904,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,14500    OLIVE VIEW                   DR,,34.3242,-118.4477
220126119,2022-12-10 00:00:00,2022-12-10 00:00:00,1515,1,Central,119,1,350,"THEFT, PERSON",0910 1822 0344 0400,55,M,W,834.0,LA UNION STATION (NOT LINE SPECIFIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",CC,UNK,350.0,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
211316323,2021-09-22 00:00:00,2021-09-22 00:00:00,2100,13,Newton,1303,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1300 2000 0448 0400,32,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,12TH                         ST,MAPLE                        AV,34.0357,-118.2563
210320775,2021-12-27 00:00:00,2021-12-26 00:00:00,1500,3,Southwest,363,1,330,BURGLARY FROM VEHICLE,1601 0329 0344 1822 0385 1300 1302,20,X,X,101.0,STREET,,,IC,Invest Cont,330.0,,,,3700    STOCKER                      ST,,34.0126,-118.3403
200404211,2020-01-06 00:00:00,2020-01-05 00:00:00,2130,4,Hollenbeck,439,1,330,BURGLARY FROM VEHICLE,0344 1302 0329,63,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330.0,,,,2300    LILLYVALE                    AV,,34.072,-118.1643
201113714,2020-09-17 00:00:00,2020-03-24 00:00:00,1400,11,Northeast,1163,1,310,BURGLARY,0352 0344 1221 0358 1202 0321,62,F,O,221.0,PUBLIC STORAGE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,4700    FOUNTAIN                     AV,,34.0955,-118.2922
231015305,2023-10-26 00:00:00,2023-10-24 00:00:00,100,10,West Valley,1088,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 0209 1605 1602,53,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,16100    VENTURA                      BL,,34.1564,-118.4837
200807075,2020-03-08 00:00:00,2020-03-07 00:00:00,2000,8,West LA,898,1,330,BURGLARY FROM VEHICLE,0358 1607 0344 0385 1822,28,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,BEVERLYWOOD,BEDFORD,34.0374,-118.3842
231512325,2023-07-14 00:00:00,2023-03-21 00:00:00,2234,15,N Hollywood,1532,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0443,28,F,B,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,956.0,,,,5700    WHITSETT                     AV,,34.174,-118.4053
221207667,2022-03-08 00:00:00,2022-03-08 00:00:00,900,12,77th Street,1266,2,624,BATTERY - SIMPLE ASSAULT,0913 2000 0416 0446,21,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,600 W  81ST                         ST,,33.9655,-118.2845
230713419,2023-08-17 00:00:00,2023-08-16 00:00:00,1536,7,Wilshire,732,1,310,BURGLARY,1307 0321 0344,52,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,6500    COLGATE                      AV,,34.0697,-118.3673
240105675,2024-01-24 00:00:00,2024-01-23 00:00:00,2100,1,Central,154,1,330,BURGLARY FROM VEHICLE,0344 1307,60,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,500 S  MAIN                         ST,,34.0467,-118.2485
211512064,2021-07-20 00:00:00,2021-07-19 00:00:00,2035,15,N Hollywood,1591,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1822,65,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,12100    VENTURA                      BL,,34.1435,-118.3957
240706585,2024-03-02 00:00:00,2024-03-02 00:00:00,1150,7,Wilshire,788,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,4100 W  WASHINGTON                   BL,,34.0399,-118.3294
230814736,2023-09-20 00:00:00,2023-09-18 00:00:00,2000,8,West LA,834,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0358 0385 1606,22,F,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,10600    HOLMAN                       AV,,34.0554,-118.4308
240108257,2024-03-01 00:00:00,2024-02-22 00:00:00,300,1,Central,139,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,600    TRACTION                     AV,,34.0462,-118.2371
240306873,2024-02-26 00:00:00,2024-02-25 00:00:00,1200,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,102.0,SIDEWALK,,,IC,Invest Cont,522.0,,,,1000 W  34TH                         ST,,34.0243,-118.2876
211913180,2021-09-12 00:00:00,2021-09-12 00:00:00,245,19,Mission,1958,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,14100    PIERCE                       ST,,34.2517,-118.445
242004572,2023-01-15 00:00:00,2021-12-07 00:00:00,130,20,Olympic,2015,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2000 0532 0536 0515 0356 1813 1243 0444 0416 0552,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815.0,,,,100 N  MARIPOSA                     AV,,34.0728,-118.2994
232114834,2023-10-03 00:00:00,2023-10-02 00:00:00,1720,21,Topanga,2118,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,20100    ROSCOE                       BL,,34.2203,-118.571
221224322,2022-11-20 00:00:00,2021-12-20 00:00:00,1525,12,77th Street,1248,2,354,THEFT OF IDENTITY,0100 0928,52,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,900 W  68TH                         ST,,33.9782,-118.2893
231113053,2023-09-05 00:00:00,2023-09-03 00:00:00,900,11,Northeast,1173,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,2300    LOMA VISTA                   PL,,34.0952,-118.2569
221510049,2022-05-20 00:00:00,2022-05-20 00:00:00,1730,15,N Hollywood,1549,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,37,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,LANKERSHIM,CHANDLER,34.1689,-118.3771
221504901,2022-01-22 00:00:00,2022-01-20 00:00:00,745,15,N Hollywood,1553,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444,28,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,11800    RIVERSIDE                    DR,,34.1576,-118.39
231421883,2023-12-17 00:00:00,2023-12-16 00:00:00,2100,14,Pacific,1441,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,STRONG                       DR,WASHINGTON                   BL,33.9843,-118.4643
200407002,2020-03-16 00:00:00,2020-03-16 00:00:00,830,4,Hollenbeck,437,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,4300    MULTNOMAH                    ST,,34.069,-118.1927
200206965,2020-02-27 00:00:00,2020-02-27 00:00:00,130,2,Rampart,217,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0352 1300,26,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,420.0,,,,400 N  BONNIE BRAE                  ST,,34.0694,-118.2655
230305329,2023-01-27 00:00:00,2023-01-18 00:00:00,430,3,Southwest,337,1,480,BIKE - STOLEN,1822 1251 0344 0216,24,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,,,,3100 S  NORMANDIE                    AV,,34.0261,-118.3002
220308447,2022-04-02 00:00:00,2022-04-01 00:00:00,1800,3,Southwest,379,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344 1822 1300 0385,27,M,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,1000 W  39TH                         PL,,34.0142,-118.2915
231610202,2023-07-18 00:00:00,2023-07-12 00:00:00,1937,16,Foothill,1615,2,354,THEFT OF IDENTITY,1501,58,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,11700    FOOTHILL                     BL,,34.2754,-118.3904
221518734,2022-12-18 00:00:00,2022-12-18 00:00:00,510,15,N Hollywood,1557,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 1814,37,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,10800    CAMARILLO                    ST,,34.1577,-118.3659
212110799,2021-06-30 00:00:00,2021-06-30 00:00:00,1230,21,Topanga,2157,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,36,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,21200    KITTRIDGE                    ST,,34.1913,-118.5942
200615617,2020-09-19 00:00:00,2020-09-19 00:00:00,745,6,Hollywood,659,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,27,F,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,HARVARD,SUNSET,34.0966,-118.3049
202005569,2020-02-02 00:00:00,2020-02-02 00:00:00,1305,20,Olympic,2004,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,35,M,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,4500    OAKWOOD                      AV,,34.0777,-118.3046
231701242,2023-09-26 00:00:00,2023-09-25 00:00:00,1659,17,Devonshire,1745,2,354,THEFT OF IDENTITY,0380 1402,0,X,X,402.0,MARKET,,,IC,Invest Cont,354.0,998.0,,,18000    CHATSWORTH                   ST,,34.2645,-118.5264
221115156,2022-10-16 00:00:00,2022-10-16 00:00:00,1340,11,Northeast,1149,2,624,BATTERY - SIMPLE ASSAULT,0416 0602 0360,52,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,200 N  AVENUE 50,,34.1074,-118.1978
232015309,2023-09-12 00:00:00,2023-09-12 00:00:00,208,20,Olympic,2005,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400 N  ARDMORE                      AV,,34.0777,-118.3023
201713726,2020-09-28 00:00:00,2020-01-01 00:00:00,1,17,Devonshire,1797,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1501 0212 1258 1251 0509 0913 0552,9,F,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,812.0,,,,8900    WOODLEY                      AV,,34.2281,-118.4913
231911769,2023-07-17 00:00:00,2023-07-17 00:00:00,2120,19,Mission,1924,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0444 2034 1218 1822 1206,51,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,POLK                         ST,SAN FERNANDO                 RD,34.2992,-118.4592
230813742,2023-08-25 00:00:00,2023-08-24 00:00:00,2126,8,West LA,889,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,1800    LA CIENEGA                   BL,,34.0425,-118.3818
231409367,2023-04-29 00:00:00,2023-04-24 00:00:00,1130,14,Pacific,1428,1,330,BURGLARY FROM VEHICLE,1609 0344,71,F,W,402.0,MARKET,,,IC,Invest Cont,330.0,,,,WESTWOOD                     BL,NATIONAL                     BL,34.0302,-118.4205
220312197,2022-06-12 00:00:00,2022-06-12 00:00:00,1730,3,Southwest,376,2,624,BATTERY - SIMPLE ASSAULT,1402 1257 2004 0416 0907 1822,3,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,HOBART,LEIGHTON,34.0111,-118.3077
202107956,2020-03-31 00:00:00,2020-03-13 00:00:00,800,21,Topanga,2185,2,649,DOCUMENT FORGERY / STOLEN FELONY,0924 1822,35,M,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,649.0,,,,5100    LLANO                        DR,,34.1615,-118.6111
240704276,2024-01-07 00:00:00,2024-01-07 00:00:00,1230,7,Wilshire,735,2,624,BATTERY - SIMPLE ASSAULT,0400 0444 0416 2000 1814,63,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,600 S  RIDGELEY                     DR,,34.0649,-118.3504
221004769,2022-01-22 00:00:00,2022-01-22 00:00:00,5,10,West Valley,1006,1,330,BURGLARY FROM VEHICLE,0344 1307 1609,19,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,17500    STRATHERN                    ST,,34.2157,-118.5143
200915830,2020-10-11 00:00:00,2020-10-09 00:00:00,2030,9,Van Nuys,933,2,354,THEFT OF IDENTITY,0100 0930 1822,38,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6200    CEDROS                       AV,,34.1826,-118.4531
211610879,2021-08-25 00:00:00,2021-08-25 00:00:00,1140,16,Foothill,1602,2,624,BATTERY - SIMPLE ASSAULT,0416 0444 1822,22,F,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,GLENOAKS                     BL,VAN NUYS                     BL,0.0,0.0
220512452,2022-08-12 00:00:00,2022-08-11 00:00:00,1320,5,Harbor,511,1,210,ROBBERY,0913 0602 0377 0355 0554 0416 0417 0444 0429 0344,50,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,,,,1600    257TH                        ST,,33.7905,-118.3043
231317317,2023-09-14 00:00:00,2023-09-14 00:00:00,1200,13,Newton,1362,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 1251 0448 0913 0553,7,F,B,704.0,ELEMENTARY SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,,,,400 E  51ST                         ST,,33.9966,-118.2674
210620549,2021-12-19 00:00:00,2021-12-18 00:00:00,2000,6,Hollywood,637,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,6000    HOLLYWOOD                    BL,,34.103,-118.3225
231815164,2023-08-17 00:00:00,2023-08-17 00:00:00,2220,18,Southeast,1862,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 1817,29,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,200 W  118TH                        ST,,33.9265,-118.2761
221612714,2022-09-25 00:00:00,2022-09-24 00:00:00,2330,16,Foothill,1681,2,888,TRESPASSING,1501,0,X,X,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,888.0,,,,12400    ROSCOE                       BL,,34.2217,-118.4031
230909342,2023-05-13 00:00:00,2023-05-12 00:00:00,1700,9,Van Nuys,989,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,66,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,13800    VENTURA                      BL,,34.1483,-118.4335
200912862,2020-07-28 00:00:00,2020-07-07 00:00:00,2130,9,Van Nuys,971,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1202 1822,73,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,4600    BURNET                       AV,,34.1542,-118.4628
211805592,2021-02-01 00:00:00,2020-03-05 00:00:00,1200,18,Southeast,1831,2,928,THREATENING PHONE CALLS/LETTERS,1822 1906 0422 0443,19,F,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,928.0,,,,700    LACONIA                      BL,,33.9177,-118.288
200208717,2020-04-08 00:00:00,2020-04-07 00:00:00,1300,2,Rampart,217,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 0329,31,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,HOOVER,LEEWARD                      AV,34.0727,-118.2637
241506539,2024-02-22 00:00:00,2024-02-21 00:00:00,1200,15,N Hollywood,1585,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,69,F,W,402.0,MARKET,,,IC,Invest Cont,341.0,,,,11200    VENTURA                      BL,,34.143,-118.3727
231000938,2023-09-25 00:00:00,2023-09-24 00:00:00,1400,10,West Valley,1003,1,310,BURGLARY,1822 0344 1402,23,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,18600    ELKWOOD                      ST,,34.213,-118.5386
210112297,2021-06-22 00:00:00,2021-06-22 00:00:00,1847,1,Central,157,2,623,BATTERY POLICE (SIMPLE),2004 0356 1212,0,X,X,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,5TH                          ST,TOWNE                        ST,34.043,-118.242
221006295,2022-03-02 00:00:00,2022-03-02 00:00:00,536,10,West Valley,1023,1,310,BURGLARY,1822 1607 0344,0,M,W,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,6700    TAMPA                        AV,,34.1923,-118.5534
231818722,2023-11-01 00:00:00,2023-10-31 00:00:00,1930,18,Southeast,1801,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,9000 S  FIGUEROA                     ST,,33.9555,-118.2871
